date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:19:45	741529/741529	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Mar%202023%2004:19:45%20GMT	https://www.classcentral.com/institution/microsoft	D:/Trial_Scraping_5/trial/www.classcentral.com/institution/microsoft.html	(from https://www.classcentral.com/)
06:19:45	7696/7696	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Mon,%2013%20Mar%202023%2004:19:45%20GMT	https://www.classcentral.com/institution/ibm	D:/Trial_Scraping_5/trial/www.classcentral.com/institution/ibm	(from https://www.classcentral.com/)
06:19:46	245/245	---M--	200	added ('OK')	image/png	date:Sun,%2012%20Mar%202023%2007:58:29%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Fhomepage%2Fibm.png?auto=format&blur=200&cs=strip&fit=&h=50&ixlib=php-3.3.1&px=16&w=50&s=9524762b61f030042e91b0ea214e8ed1	D:/Trial_Scraping_5/trial/ccweb.imgix.net/https_/www.classcentral.com/images/logos/homepage/ibm7639.png	(from https://www.classcentral.com/)
06:19:46	2611/2611	---M--	200	added ('OK')	image/png	date:Sun,%2012%20Mar%202023%2014:07:16%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Fhomepage%2Fibm.png?auto=format&cs=strip&fit=&h=50&ixlib=php-3.3.1&w=50&s=fbb4ccdbbb895bfc02137b42107f2edf	D:/Trial_Scraping_5/trial/ccweb.imgix.net/https_/www.classcentral.com/images/logos/homepage/ibmb3ff.png	(from https://www.classcentral.com/)
06:19:47	245/245	---M--	200	added ('OK')	image/png	date:Sun,%2012%20Mar%202023%2023:16:55%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Fhomepage%2Fsmithsonian.png?auto=format&blur=200&cs=strip&fit=&h=50&ixlib=php-3.3.1&px=16&w=50&s=d8d6ce5859a502dbae72372553f2a21d	D:/Trial_Scraping_5/trial/ccweb.imgix.net/https_/www.classcentral.com/images/logos/homepage/smithsonian0cee.png	(from https://www.classcentral.com/)
06:19:47	736839/736839	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Mar%202023%2004:19:47%20GMT	https://www.classcentral.com/institution/smithsonian	D:/Trial_Scraping_5/trial/www.classcentral.com/institution/smithsonian.html	(from https://www.classcentral.com/)
06:19:48	5452/5452	---M--	200	added ('OK')	image/png	date:Sun,%2012%20Mar%202023%2008:00:19%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Fhomepage%2Fsmithsonian.png?auto=format&cs=strip&fit=&h=50&ixlib=php-3.3.1&w=50&s=ce8c63e4445f3cfed1a9f95579a52d11	D:/Trial_Scraping_5/trial/ccweb.imgix.net/https_/www.classcentral.com/images/logos/homepage/smithsonian8661.png	(from https://www.classcentral.com/)
06:19:48	7788/7788	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Mon,%2013%20Mar%202023%2004:19:48%20GMT	https://www.classcentral.com/institution/united-nations	D:/Trial_Scraping_5/trial/www.classcentral.com/institution/united-nations	(from https://www.classcentral.com/)
06:19:48	202/202	---M--	200	added ('OK')	image/png	date:Sun,%2012%20Mar%202023%2016:15:31%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Fhomepage%2Funited-nations.png?auto=format&blur=200&cs=strip&fit=&h=50&ixlib=php-3.3.1&px=16&w=50&s=f2d81ad842cb2b150fc44520018729e6	D:/Trial_Scraping_5/trial/ccweb.imgix.net/https_/www.classcentral.com/images/logos/homepage/united-nationsaaac.png	(from https://www.classcentral.com/)
06:19:48	2932/2932	---M--	200	added ('OK')	image/png	date:Sun,%2012%20Mar%202023%2014:07:16%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Fhomepage%2Funited-nations.png?auto=format&cs=strip&fit=&h=50&ixlib=php-3.3.1&w=50&s=6d29c7e53511de20226e41e2ea583662	D:/Trial_Scraping_5/trial/ccweb.imgix.net/https_/www.classcentral.com/images/logos/homepage/united-nationsa2cd.png	(from https://www.classcentral.com/)
